Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
RO/SPO-RO0196A_00010_100,10,2024-12-31 23:00:00,2025-01-01 00:00:00,0.263260000000000000,mg.m-3,hour,1,2,2025-01-08 09:33:30,,51f1398e-95e1-4956-b0b6-2475339dc137
RO/SPO-RO0196A_00010_100,10,2025-01-01 00:00:00,2025-01-01 01:00:00,0.280000000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 01:00:00,2025-01-01 02:00:00,0.279330000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 02:00:00,2025-01-01 03:00:00,0.269950000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 03:00:00,2025-01-01 04:00:00,0.300340000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 04:00:00,2025-01-01 05:00:00,0.317630000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 05:00:00,2025-01-01 06:00:00,0.357350000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 06:00:00,2025-01-01 07:00:00,0.373060000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 07:00:00,2025-01-01 08:00:00,0.367610000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 08:00:00,2025-01-01 09:00:00,0.354540000000000000,mg.m-3,hour,1,2,2025-01-08 09:33:30,,51f1398e-95e1-4956-b0b6-2475339dc137
RO/SPO-RO0196A_00010_100,10,2025-01-01 09:00:00,2025-01-01 10:00:00,0.361360000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 10:00:00,2025-01-01 11:00:00,0.337080000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 11:00:00,2025-01-01 12:00:00,0.401990000000000000,mg.m-3,hour,-1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 12:00:00,2025-01-01 13:00:00,0.511620000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
RO/SPO-RO0196A_00010_100,10,2025-01-01 13:00:00,2025-01-01 14:00:00,0.467810000000000000,mg.m-3,hour,1,2,2025-12-18 15:44:37,,9bc539e1-c7b8-4ec6-b652-a67f8a5d4140
